,Fish,Current_BB,Current_F,cluster
415,SPANMACKGM,1.84,0.33299999999999996,1
14,CABEZNCAL,1.82,0.222,1
105,BLACKROCKNPCOAST,1.77,0.28,1
493,LNOSESKAPCOAST,1.76,0.8,1
348,YSOLEBSAI,1.75,0.615,1
81,BUTTERGOMCHATT,1.74,0.0247,1
425,ALPLAICBSAI,1.69,0.177,1
463,SSTHORNHPCOAST,1.68,0.265,1
50,YEGROUPGM,1.67,0.68,1
422,HERRNWATLC,1.66,0.33899999999999997,1
325,SCMPWHB,1.65,0.335,1
365,AUSSALMONNZ,1.64,0.32799999999999996,1
456,YELL3LNO,1.64,0.485,1
83,LINGCODSPCOAST,1.63,0.0932,1
447,WPOLLWBS,1.63,0.96,1
388,PERCHEBSAI,1.63,0.345,1
146,SURFMATLC,1.62,0.18100000000000002,1
91,NROCKGA,1.62,0.596,1
135,NROCKBSAI,1.61,0.312,1
229,SMOOTHOREOCR,1.59,1.03,1
22,GRSPROCKSCAL,1.59,0.11699999999999999,1
272,VSNAPGM,1.53,0.602,1
0,STMARLINNEPAC,1.52,0.0754,1
332,DEEPFLATHEADSE,1.51,0.327,1
312,ATKABSAI,1.5,0.665,1
270,STFLOUNSPCOAST,1.49,0.253,1
254,GHALBSAI,1.48,0.053,1
396,PANCHPERUNC,1.47,0.54,1
203,RKCRABNS,1.47,1.98,1
74,PAUANPAU5A,1.45,0.643,1
125,PHALNPAC,1.45,0.134,1
26,BKINGCRABSMI,1.45,0.14300000000000002,1
216,TREVALLYTRE7,1.44,0.83,1
372,GSTRGZRSTA7,1.43,1.28,1
274,BLACKOREOPR,1.43,3.5,0
147,SNOSESHARATL,1.42,0.721,1
27,HOKIWNZ,1.42,0.547,1
431,SMOOTHOREOWECR,1.4,0.494,1
382,BLACKGROUPERGMSATL,1.4,0.5,1
381,ALBASPAC,1.39,0.358,1
149,WPOLLNSO,1.38,0.84,1
288,SCALL5ZMAB,1.37,0.667,1
421,CROCKWCVANISOGQCI,1.37,0.737,1
460,YFINCWPAC,1.37,0.82,1
214,SMOOTHOREOBP,1.35,1.42,1
138,POPERCHGA,1.35,0.614,1
429,SPSDOGPCOAST,1.34,2.5,0
224,HADGB,1.34,0.462,1
383,PCODBSAI,1.34,0.774,1
152,CABEZORECOAST,1.31,0.5589999999999999,1
292,FTOOTHSHARATL,1.3,0.0857,1
262,BGROCKPCOAST,1.3,0.517,1
246,SCUPNWATLC,1.3,0.305,1
488,KELPGREENLINGORECOAST,1.28,0.593,1
345,WROCKPCOAST,1.28,0.0187,1
58,BCRABCHESB,1.27,0.568,1
158,RKCRABBB,1.27,1.05,1
336,RGROUPGM,1.27,0.727,1
253,HERRRIGA,1.26,1.23,1
483,PHAKEPCOAST,1.23,0.866,1
298,GRSPROCKNCAL,1.22,0.0,1
171,BIGEYEWPO,1.21,1.38,1
397,SPANMACKSATLC,1.2,3.63,0
218,PCODHS,1.2,0.21899999999999997,1
484,GAGSATLC,1.17,1.36,1
76,PAUASPAU5A,1.16,1.06,1
173,BHEADSHARATL,1.16,0.507,1
477,SABLEFPCOAST,1.13,3.5,0
409,MUTSNAPSATLCGM,1.13,0.531,1
485,GTRIGGM,1.12,0.956,1
131,STFLOUNNPCOAST,1.1,0.11800000000000001,1
8,SABLEFEBSAIGA,1.1,0.585,1
386,GRAMBERSATLC,1.1,0.531,1
353,SNOWCRABBS,1.1,0.373,1
98,ARGANCHONARG,1.09,0.16899999999999998,1
334,BIGEYECWPAC,1.09,1.21,1
113,NZLINGWSE,1.08,0.21899999999999997,1
492,BLUEFISHATLC,1.05,0.789,1
66,PCODWCVANI,1.04,0.469,1
378,SILVERFISHSE,1.03,0.75,1
290,BIGEYEATL,1.02,0.95,1
404,WPOLLNAVAR,1.02,1.06,1
